会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ハッチ・ワーク,148A,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,3214848000.0,3.4467194,,15.722977,,0.0,0.0,106.85,,,2367523000.0,183253000.0,0.075830005,130952000.0,0.080699995,,0.3197329682066608,1653438000.0,1420487000.0,2102846000.0,527294000.0,1474198000.0,29500000.0,470058000.0,0.1462146888437649
中外鉱業,1491,非鉄金属,スタンダード（内国株式）,JP,2025-03-31,東京都,15923479552.0,1.8489885,,14.125015,39.6017305355875,0.2558,0.01675042,78.23,,15.171294313450147,162345165000.0,1417792000.0,0.01091,1218720000.0,0.0055199997,0.13612,0.4951137534321178,8343687000.0,6940037000.0,13126548000.0,2766278000.0,4141237000.0,110071000.0,4859910700.0,0.3052040657401159
シンカ,149A,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,2493129728.0,2.4356124,,59.180576,,0.0,0.0,13.18,,,1232218000.0,78065000.0,0.06862,16073000.0,0.03206,,0.795806359218719,250945000.0,250944000.0,1105847000.0,90000000.0,972053000.0,,854902000.0,0.3429031351231796
ＪＳＨ,150A,サービス業,グロース（内国株式）,JP,2025-03-31,東京都,2306102784.0,1.2391801,9.146068,,24.035501873508927,0.0,0.0,-4.48,44.5,31.2870521263726,3967006000.0,176279000.0,-0.09876,144153000.0,-0.00567,,0.6834676567641275,944090000.0,657317000.0,1449568000.0,469964000.0,810824000.0,1851000.0,506773700.0,0.2197533013342045
住石ホールディングス,1514,鉱業,スタンダード（内国株式）,JP,2025-03-31,東京都,54738374656.0,1.9703989,,17.329546,11.507686189271332,0.5679,0.031185031,52.8,,121.83117005345184,10264000000.0,48000000.0,0.03168,4195000000.0,0.36773998,0.11983,0.9647812166488794,1023000000.0,396000000.0,21227000000.0,63000000.0,15351000000.0,2806000000.0,22168200000.0,0.4049846225671608
日鉄鉱業,1515,鉱業,プライム（内国株式）,JP,2025-03-31,,337153228800.0,2.2325034,,34.365227,11.649083483300636,0.4026,0.011155556,124.69,,79.3760002779723,196766000000.0,10257000000.0,0.0846,9019000000.0,0.04953,0.07014,0.5890898038546251,88209000000.0,55606000000.0,101970000000.0,24367000000.0,38063000000.0,39161000000.0,41173700000.0,0.1221216244807915
三井松島ホールディングス,1518,その他製品,プライム（内国株式）,JP,2025-03-31,福岡県,59175362560.0,1.1166954,7.4504113,7.587328,2.286625799947341,0.19219999,0.010178117,202.97,206.7,241.8347574473531,60574000000.0,7619000000.0,0.16,8645000000.0,0.16667,0.18361999,0.5554422028955937,52148000000.0,43841000000.0,71175000000.0,33206000000.0,8973000000.0,10945000000.0,26688500000.0,0.4510069536614935
ダイブ,151A,サービス業,グロース（内国株式）,JP,2025-06-30,東京都,5719702016.0,2.2076702,,12.27027,32.229811702314976,0.0,0.0,55.5,,38.05999976997863,13781848000.0,755967000.0,0.07721,454620000.0,0.03234,0.19674,0.5118512364823101,2167072000.0,1897467000.0,3371461000.0,406980000.0,2065504000.0,,1204389000.0,0.210568487069939
カウリス,153A,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,8415057408.0,5.2974935,,26.039783,,0.0,0.0,49.77,,,1225271000.0,412666000.0,0.29407,276298000.0,0.23806,0.23095,0.6499495814594154,708522000.0,608520000.0,1827983000.0,250000000.0,1733104000.0,,1119461000.0,0.1330307026706382
情報戦略テクノロジー,155A,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,12591820800.0,7.737991,,67.58241,,0.0,0.0,18.2,,,5847966000.0,413119000.0,0.09601,273173000.0,0.00648,,0.6224297830439212,1062910000.0,1015768000.0,2587097000.0,323768000.0,1836750000.0,,1524187000.0,0.1210457982375352
マテリアルグループ,156A,サービス業,グロース（内国株式）,JP,2025-08-31,東京都,7920711168.0,3.8569925,,17.54496,10.915077453646308,0.5439,0.031063322,47.82,,71.22999908457118,6288325000.0,832544000.0,0.16083,468946000.0,0.07406,0.24871,0.5538893248942766,1684038000.0,1563278000.0,2454902000.0,228014000.0,1261264000.0,,770864000.0,0.0973225741539878
グリーンモンスター,157A,サービス業,グロース（内国株式）,JP,2025-06-30,東京都,2931859200.0,2.156677,,94.337715,19.49622571192338,1.0142,0.010729614,9.89,,54.36999864936555,2006859000.0,123675000.0,-0.025190001,32652000.0,0.01822,0.0291,0.785581548809497,390572000.0,311835000.0,1463780000.0,50794000.0,1185144000.0,,1073208000.0,0.3660503205610965
